,name,label,timezone,id,lat,lon,insee,region,label_region,id_region,zip_code
17,Lavaufranche,Lavaufranche (Lavaufranche),Europe/Paris,stop_area:OCE:SA:87597740,46.321408,2.270338,23104,Lavaufranche,Lavaufranche (23600),admin:fr:23104,23600
18,Lavaur,Lavaur (Lavaur),Europe/Paris,stop_area:OCE:SA:87615476,43.703391,1.81303,81140,Lavaur,Lavaur (81500),admin:fr:81140,81500
19,Lavaur-Centre,Lavaur-Centre (Lavaur),Europe/Paris,stop_area:OCE:SA:87165803,43.700281,1.820566,81140,Lavaur,Lavaur (81500),admin:fr:81140,81500
20,Lavaveix-les-Mines,Lavaveix-les-Mines (Lavaveix-les-Mines),Europe/Paris,stop_area:OCE:SA:87597781,46.078902,2.0892,23105,Lavaveix-les-Mines,Lavaveix-les-Mines (23150),admin:fr:23105,23150
21,Laveline-d-Bruy. Mairie,Laveline-d-Bruy. Mairie (Laveline-devant-Bruyères),Europe/Paris,stop_area:OCE:SA:87716829,48.184176,6.757545,88262,Laveline-devant-Bruyères,Laveline-devant-Bruyères (88600),admin:fr:88262,88600
22,Lavilledieu,Lavilledieu (La Ville-Dieu-du-Temple),Europe/Paris,stop_area:OCE:SA:87611459,44.035262,1.214894,82096,La Ville-Dieu-du-Temple,La Ville-Dieu-du-Temple (82290),admin:fr:82096,82290
23,Lavilledieu-Centre,Lavilledieu-Centre (Lavilledieu),Europe/Paris,stop_area:OCE:SA:87337097,44.574153,4.455366,7138,Lavilledieu,Lavilledieu (07170),admin:fr:7138,07170
24,Lavoute-Arrêt-CG.,Lavoute-Arrêt-CG. (Lavoûte-sur-Loire),Europe/Paris,stop_area:OCE:SA:87680736,45.118729,3.906712,43119,Lavoûte-sur-Loire,Lavoûte-sur-Loire (43800),admin:fr:43119,43800
0,Lavoûte-sur-Loire,Lavoûte-sur-Loire (Lavoûte-sur-Loire),Europe/Paris,stop_area:OCE:SA:87734707,45.121295,3.905323,43119,Lavoûte-sur-Loire,Lavoûte-sur-Loire (43800),admin:fr:43119,43800
1,Le Baladou,Le Baladou (Baladou),Europe/Paris,stop_area:OCE:SA:87517953,44.920852,1.555894,46016,Baladou,Baladou (46600),admin:fr:46016,46600
2,Le Bosquet,Le Bosquet (Cannes),Europe/Paris,stop_area:OCE:SA:87757757,43.551575,6.981518,6029,Cannes,Cannes (06150-06400),admin:fr:6029,06150;06400
3,Le Bourget,Le Bourget (Le Bourget),Europe/Paris,stop_area:OCE:SA:87271395,48.930884,2.425776,93013,Le Bourget,Le Bourget (93350),admin:fr:93013,93350
4,Le Bousquet-d'Orb,Le Bousquet-d'Orb (Le Bousquet-d'Orb),Europe/Paris,stop_area:OCE:SA:87781583,43.691547,3.168385,34038,Le Bousquet-d'Orb,Le Bousquet-d'Orb (34260),admin:fr:34038,34260
5,Le Bras-de-Fer,Le Bras-de-Fer (Évry-Courcouronnes),Europe/Paris,stop_area:OCE:SA:87681395,48.623239,2.450839,91228,Évry-Courcouronnes,Évry-Courcouronnes (91000-91080),admin:fr:91228,91000;91080
6,Le Breuil (Rhône),Le Breuil (Rhône) (Le Breuil),Europe/Paris,stop_area:OCE:SA:87721779,45.896771,4.591215,69026,Le Breuil,Le Breuil (69620),admin:fr:69026,69620
7,Le Breuil-sur-Couze,Le Breuil-sur-Couze (Le Breuil-sur-Couze),Europe/Paris,stop_area:OCE:SA:87734228,45.467089,3.262143,63052,Le Breuil-sur-Couze,Le Breuil-sur-Couze (63340),admin:fr:63052,63340
8,Le Breuil/Couzes-S.-Fêt,Le Breuil/Couzes-S.-Fêt (Le Breuil-sur-Couze),Europe/Paris,stop_area:OCE:SA:87407940,45.472327,3.261949,63052,Le Breuil-sur-Couze,Le Breuil-sur-Couze (63340),admin:fr:63052,63340
9,Le Bruel,Le Bruel (Esclanèdes),Europe/Paris,stop_area:OCE:SA:87783548,44.481068,3.358169,48056,Esclanèdes,Esclanèdes (48230),admin:fr:48056,48230
10,Le Buet,Le Buet (Vallorcine),Europe/Paris,stop_area:OCE:SA:87746883,46.019163,6.920368,74290,Vallorcine,Vallorcine (74660),admin:fr:74290,74660
11,Le Bugue,Le Bugue (Le Bugue),Europe/Paris,stop_area:OCE:SA:87595744,44.905774,0.942864,24067,Le Bugue,Le Bugue (24260),admin:fr:24067,24260
12,Le Buisson,Le Buisson (Le Buisson-de-Cadouin),Europe/Paris,stop_area:OCE:SA:87595751,44.847225,0.908183,24068,Le Buisson-de-Cadouin,Le Buisson-de-Cadouin (24480),admin:fr:24068,24480
13,Le Burg,Le Burg (Varetz),Europe/Paris,stop_area:OCE:SA:87594614,45.216228,1.42965,19278,Varetz,Varetz (19240),admin:fr:19278,19240
14,Le Cailar,Le Cailar (Le Cailar),Europe/Paris,stop_area:OCE:SA:87775825,43.683192,4.234767,30059,Le Cailar,Le Cailar (30740),admin:fr:30059,30740
15,Le Cateau,Le Cateau (Le Cateau-Cambrésis),Europe/Paris,stop_area:OCE:SA:87295220,50.091461,3.540021,59136,Le Cateau-Cambrésis,Le Cateau-Cambrésis (59360),admin:fr:59136,59360
16,Le Cellier,Le Cellier (Le Cellier),Europe/Paris,stop_area:OCE:SA:87481168,47.31316,-1.350957,44028,Le Cellier,Le Cellier (44850),admin:fr:44028,44850
17,Le Cendre-Orcet,Le Cendre-Orcet (Le Cendre),Europe/Paris,stop_area:OCE:SA:87734160,45.723817,3.188689,63069,Le Cendre,Le Cendre (63670),admin:fr:63069,63670
18,Le Chambon-Feugerolles,Le Chambon-Feugerolles (Le Chambon-Feugerolles),Europe/Paris,stop_area:OCE:SA:87726711,45.394773,4.322366,42044,Le Chambon-Feugerolles,Le Chambon-Feugerolles (42500),admin:fr:42044,42500
19,Le Cheminot,Le Cheminot (Javernant),Europe/Paris,stop_area:OCE:SA:87139899,48.147496,4.010272,10177,Javernant,Javernant (10320),admin:fr:10177,10320
20,Le Coteau,Le Coteau (Le Coteau),Europe/Paris,stop_area:OCE:SA:87726828,46.023935,4.086301,42071,Le Coteau,Le Coteau (42120),admin:fr:42071,42120
21,Le Creusot,Le Creusot (Le Creusot),Europe/Paris,stop_area:OCE:SA:87694000,46.807829,4.430429,71153,Le Creusot,Le Creusot (71200),admin:fr:71153,71200
22,Le Croisic,Le Croisic (Le Croisic),Europe/Paris,stop_area:OCE:SA:87481788,47.289889,-2.507288,44049,Le Croisic,Le Croisic (44490),admin:fr:44049,44490
23,Le Dorat,Le Dorat (Le Dorat),Europe/Paris,stop_area:OCE:SA:87592543,46.211108,1.079244,87059,Le Dorat,Le Dorat (87210),admin:fr:87059,87210
24,Le Dramont,Le Dramont (Saint-Raphaël),Europe/Paris,stop_area:OCE:SA:87757542,43.417718,6.844313,83118,Saint-Raphaël,Saint-Raphaël (83530-83700),admin:fr:83118,83530;83700
0,Le Genest,Le Genest (Le Genest-Saint-Isle),Europe/Paris,stop_area:OCE:SA:87478743,48.096774,-0.885341,53103,Le Genest-Saint-Isle,Le Genest-Saint-Isle (53940),admin:fr:53103,53940
1,Le Grand-Jardin,Le Grand-Jardin (Lisieux),Europe/Paris,stop_area:OCE:SA:87444323,49.150305,0.227203,14366,Lisieux,Lisieux (14100),admin:fr:14366,14100
2,Le Grand-Lemps,Le Grand-Lemps (Le Grand-Lemps),Europe/Paris,stop_area:OCE:SA:87747220,45.396678,5.423061,38182,Le Grand-Lemps,Le Grand-Lemps (38690),admin:fr:38182,38690
3,Le Grau-du-Roi,Le Grau-du-Roi (Le Grau-du-Roi),Europe/Paris,stop_area:OCE:SA:87775866,43.536582,4.140867,30133,Le Grau-du-Roi,Le Grau-du-Roi (30240),admin:fr:30133,30240
4,Le Guichet,Le Guichet (Orsay),Europe/Paris,stop_area:OCE:SA:87758839,48.704912,2.191361,91471,Orsay,Orsay (91400),admin:fr:91471,91400
5,Le Haut-Banc,Le Haut-Banc (Ferques),Europe/Paris,stop_area:OCE:SA:87316687,50.816414,1.772302,62329,Ferques,Ferques (62250),admin:fr:62329,62250
6,Le Havre,Le Havre (Le Havre),Europe/Paris,stop_area:OCE:SA:87413013,49.492653,0.124835,76351,Le Havre,Le Havre (76600-76620),admin:fr:76351,76600;76620
7,Le Havre-Graville,Le Havre-Graville (Le Havre),Europe/Paris,stop_area:OCE:SA:87413203,49.499874,0.160698,76351,Le Havre,Le Havre (76600-76620),admin:fr:76351,76600;76620
8,Le Lioran,Le Lioran (Laveissière),Europe/Paris,stop_area:OCE:SA:87645473,45.09075,2.753267,15101,Laveissière,Laveissière (15300),admin:fr:15101,15300
9,Le Locle,Le Locle (Le Locle),Europe/Paris,stop_area:OCE:SA:85043166,47.05788,6.746129,,Le Locle,Le Locle (2400),admin:osm:relation:1685506,2400
10,Le Locle-Col-des-Roches,Le Locle-Col-des-Roches (Le Locle),Europe/Paris,stop_area:OCE:SA:87598219,47.04989,6.725831,,Le Locle,Le Locle (2400),admin:osm:relation:1685506,2400
11,Le Locle.,Le Locle. (Le Locle),Europe/Paris,stop_area:OCE:SA:87598227,47.057708,6.746141,,Le Locle,Le Locle (2400),admin:osm:relation:1685506,2400
12,Le Luc-et-le-Cannet,Le Luc-et-le-Cannet (Le Cannet-des-Maures),Europe/Paris,stop_area:OCE:SA:87755405,43.390301,6.343011,83031,Le Cannet-des-Maures,Le Cannet-des-Maures (83340),admin:fr:83031,83340
13,Le Mans,Le Mans (Le Mans),Europe/Paris,stop_area:OCE:SA:87396002,47.995584,0.192143,72181,Le Mans,Le Mans (72000-72100),admin:fr:72181,72000;72100
14,Le Mée,Le Mée (Le Mée-sur-Seine),Europe/Paris,stop_area:OCE:SA:87682179,48.539939,2.624046,77285,Le Mée-sur-Seine,Le Mée-sur-Seine (77350),admin:fr:77285,77350
15,Le Ménilot,Le Ménilot (Montiéramey),Europe/Paris,stop_area:OCE:SA:87214940,48.239166,4.298606,10249,Montiéramey,Montiéramey (10270),admin:fr:10249,10270
